letter,letter_total,letter_upper_total,letter_percentage
a,516,171,9.41
b,66,0,1.2
c,264,2,4.82
d,279,4,5.09
e,495,5,9.03
f,197,111,3.59
g,54,0,0.99
h,69,4,1.26
i,274,5,5.0
j,1,0,0.02
k,3,0,0.05
l,287,0,5.24
m,62,0,1.13
n,308,64,5.62
o,240,0,4.38
p,57,55,1.04
q,0,0,0.0
r,405,0,7.39
s,500,114,9.12
t,679,69,12.39
u,265,0,4.83
v,164,0,2.99
w,121,1,2.21
x,62,0,1.13
y,108,0,1.97
z,6,0,0.11
